Poem,Label
"Laugh laugh in the dance, dance whispers in the love.",1
"Cold lost in the lost, empty whispers in the silent.",0
"Shadow night in the lost, night whispers in the night.",0
"Shadow shadow in the farewell, cold whispers in the silent.",0
"Dance sky in the morning, laugh whispers in the laugh.",1
"Lost rain in the silent, tears whispers in the empty.",0
"Dark farewell in the rain, night whispers in the silent.",0
"Joy bright in the bright, bright whispers in the laugh.",1
"Sky laugh in the joy, morning whispers in the dream.",1
"Silent farewell in the silent, shadow whispers in the farewell.",0
"Light sky in the bright, bright whispers in the love.",1
"Laugh love in the sky, love whispers in the laugh.",1
"Sun bright in the light, bright whispers in the light.",1
"Farewell shadow in the cold, tears whispers in the silent.",0
"Tears cold in the empty, shadow whispers in the empty.",0
"Love bright in the morning, light whispers in the dance.",1
"Lost empty in the shadow, farewell whispers in the rain.",0
"Dream dream in the dance, dream whispers in the love.",1
"Light love in the sun, sky whispers in the love.",1
"Empty lost in the farewell, cold whispers in the dark.",0
"Morning light in the sun, light whispers in the sky.",1
"Light laugh in the morning, joy whispers in the bright.",1
"Dance sky in the dance, light whispers in the laugh.",1
"Shadow dark in the cold, silent whispers in the rain.",0
"Rain shadow in the silent, cold whispers in the dark.",0
"Shadow dark in the lost, tears whispers in the silent.",0
"Shadow tears in the dark, tears whispers in the rain.",0
"Tears lost in the farewell, shadow whispers in the empty.",0
"Silent empty in the cold, cold whispers in the cold.",0
"Dream morning in the dance, sun whispers in the sun.",1
"Night dark in the lost, tears whispers in the dark.",0
"Sky bright in the joy, sun whispers in the joy.",1
"Sky dream in the dance, joy whispers in the dance.",1
"Night night in the rain, cold whispers in the cold.",0
"Shadow shadow in the night, cold whispers in the lost.",0
"Dark dark in the rain, empty whispers in the tears.",0
"Dream laugh in the laugh, light whispers in the sun.",1
"Bright light in the laugh, love whispers in the dream.",1
"Laugh morning in the light, morning whispers in the bright.",1
"Shadow dark in the shadow, rain whispers in the lost.",0
"Laugh bright in the love, joy whispers in the bright.",1
"Shadow dark in the shadow, rain whispers in the shadow.",0
"Light bright in the light, sky whispers in the bright.",1
"Tears dark in the empty, dark whispers in the shadow.",0
"Farewell tears in the rain, farewell whispers in the shadow.",0
"Rain shadow in the lost, dark whispers in the farewell.",0
"Dream sun in the love, joy whispers in the morning.",1
"Sky love in the dream, light whispers in the laugh.",1
"Laugh sun in the bright, dance whispers in the sun.",1
"Dark silent in the shadow, silent whispers in the cold.",0
"Dream bright in the light, sky whispers in the laugh.",1
"Bright morning in the sky, dream whispers in the morning.",1
"Light laugh in the laugh, morning whispers in the dance.",1
"Night shadow in the night, shadow whispers in the farewell.",0
"Lost dark in the lost, night whispers in the silent.",0
"Morning laugh in the laugh, dance whispers in the dance.",1
"Bright sun in the dance, sun whispers in the joy.",1
"Night rain in the farewell, empty whispers in the empty.",0
"Farewell empty in the farewell, dark whispers in the shadow.",0
"Cold silent in the empty, silent whispers in the lost.",0
"Empty farewell in the farewell, night whispers in the dark.",0
"Sun sun in the joy, bright whispers in the sky.",1
"Sun light in the love, morning whispers in the love.",1
"Love love in the morning, sky whispers in the sun.",1
"Joy sky in the light, light whispers in the love.",1
"Rain dark in the dark, rain whispers in the rain.",0
"Sky sky in the dream, love whispers in the dance.",1
"Night silent in the rain, farewell whispers in the cold.",0
"Light love in the dance, bright whispers in the sky.",1
"Bright sun in the dream, laugh whispers in the morning.",1
"Sun laugh in the sky, sky whispers in the light.",1
"Tears cold in the dark, silent whispers in the cold.",0
"Bright sun in the sky, sun whispers in the morning.",1
"Silent silent in the night, lost whispers in the rain.",0
"Love sun in the bright, dream whispers in the sky.",1
"Silent lost in the cold, empty whispers in the lost.",0
"Laugh joy in the dance, morning whispers in the morning.",1
"Light love in the laugh, dream whispers in the joy.",1
"Dance sun in the love, love whispers in the bright.",1
"Joy bright in the laugh, sky whispers in the joy.",1
"Lost lost in the rain, night whispers in the shadow.",0
"Empty shadow in the dark, lost whispers in the empty.",0
"Love morning in the light, joy whispers in the dance.",1
"Dance joy in the dream, bright whispers in the joy.",1
"Bright light in the sun, love whispers in the sun.",1
"Cold empty in the farewell, tears whispers in the tears.",0
"Cold empty in the cold, empty whispers in the cold.",0
"Rain silent in the farewell, lost whispers in the shadow.",0
"Rain silent in the silent, farewell whispers in the farewell.",0
"Cold silent in the empty, rain whispers in the farewell.",0
"Dream dream in the love, dream whispers in the bright.",1
"Love light in the dream, love whispers in the laugh.",1
"Silent tears in the farewell, shadow whispers in the tears.",0
"Silent shadow in the tears, farewell whispers in the silent.",0
"Dark cold in the dark, rain whispers in the night.",0
"Night farewell in the tears, farewell whispers in the lost.",0
"Tears farewell in the shadow, cold whispers in the empty.",0
"Empty night in the farewell, rain whispers in the silent.",0
"Light sun in the sky, bright whispers in the light.",1
"Light morning in the morning, dance whispers in the bright.",1
